,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
0,27,75000,MORTGAGE,6.0,PERSONAL,A,3500,6.03,0.05,N,10,0
1,30,51750,OWN,5.0,VENTURE,B,12000,11.14,0.23,N,10,0
2,21,33000,RENT,5.0,VENTURE,C,3375,13.49,0.1,Y,3,0
3,23,70560,RENT,1.0,MEDICAL,A,9600,7.9,0.14,N,4,0
4,25,55000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8500,,0.15,N,2,0
5,32,130000,MORTGAGE,12.0,MEDICAL,A,16500,5.42,0.13,N,8,0
6,27,33600,OWN,1.0,PERSONAL,B,21250,8.88,0.63,N,6,0
7,24,59600,RENT,8.0,PERSONAL,A,10000,5.99,0.17,N,4,0
8,27,117996,MORTGAGE,4.0,DEBTCONSOLIDATION,A,16000,7.9,0.14,N,10,0
9,35,66560,MORTGAGE,11.0,VENTURE,A,4200,5.79,0.06,N,10,0
10,29,45000,MORTGAGE,5.0,HOMEIMPROVEMENT,D,8000,15.58,0.18,N,9,0
11,24,55000,MORTGAGE,0.0,HOMEIMPROVEMENT,C,4200,15.23,0.08,Y,3,0
12,25,107000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,3000,,0.03,N,2,0
13,21,19253,MORTGAGE,,DEBTCONSOLIDATION,A,6250,6.17,0.32,N,3,1
14,24,41000,RENT,3.0,EDUCATION,B,7200,12.53,0.18,N,2,0
15,24,42000,RENT,0.0,MEDICAL,A,12000,7.66,0.29,N,2,0
16,22,32240,RENT,3.0,PERSONAL,C,15000,13.22,0.47,N,2,1
17,22,58000,OWN,6.0,MEDICAL,B,20000,11.99,0.34,N,4,0
18,27,33600,RENT,8.0,MEDICAL,C,5000,12.87,0.15,Y,6,0
19,55,50000,RENT,2.0,HOMEIMPROVEMENT,A,20000,7.51,0.4,N,30,1
20,26,52000,RENT,5.0,PERSONAL,B,5000,10.59,0.1,N,3,0
21,26,116004,RENT,6.0,VENTURE,B,18000,11.83,0.16,N,4,0
22,25,25000,RENT,1.0,DEBTCONSOLIDATION,B,1600,9.99,0.06,N,3,0
23,25,19200,OWN,4.0,EDUCATION,B,3000,11.99,0.16,N,4,1
24,25,33996,RENT,8.0,MEDICAL,E,1500,16.82,0.04,N,4,1
25,27,24000,RENT,2.0,DEBTCONSOLIDATION,A,8000,7.29,0.33,N,7,1
26,21,30000,RENT,5.0,EDUCATION,C,2000,13.43,0.07,N,4,0
27,48,42000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,14400,12.87,0.34,Y,17,1
28,36,120000,RENT,2.0,HOMEIMPROVEMENT,C,16000,13.06,0.13,N,16,0
29,33,67800,RENT,3.0,HOMEIMPROVEMENT,B,18000,10.08,0.27,N,6,0
30,29,215000,RENT,2.0,MEDICAL,B,8000,10.71,0.04,N,7,0
31,24,134000,MORTGAGE,2.0,DEBTCONSOLIDATION,D,25000,14.83,0.19,N,4,1
32,26,82000,MORTGAGE,10.0,PERSONAL,A,3200,5.99,0.04,N,3,0
33,24,83904,MORTGAGE,8.0,DEBTCONSOLIDATION,D,16000,16.07,0.19,Y,4,1
34,24,52000,RENT,4.0,DEBTCONSOLIDATION,A,3500,7.68,0.07,N,2,0
35,25,26400,RENT,5.0,EDUCATION,A,5300,8.49,0.2,N,3,0
36,23,40000,MORTGAGE,3.0,MEDICAL,A,5000,5.42,0.13,N,3,0
37,37,780000,RENT,9.0,VENTURE,B,7500,12.18,0.01,N,13,0
38,23,168600,RENT,3.0,EDUCATION,B,20000,11.58,0.12,N,3,0
39,22,32496,RENT,5.0,PERSONAL,A,4400,8.49,0.14,N,4,0
40,22,45999,RENT,1.0,VENTURE,A,7300,7.88,0.16,N,2,0
41,24,89523,RENT,8.0,PERSONAL,B,3000,10.25,0.03,N,3,0
42,43,60000,MORTGAGE,6.0,MEDICAL,B,4800,9.64,0.08,N,13,0
43,45,38400,RENT,4.0,DEBTCONSOLIDATION,C,1000,14.72,0.03,Y,12,0
44,30,48000,MORTGAGE,9.0,EDUCATION,A,3000,7.4,0.06,N,7,0
45,28,74000,MORTGAGE,6.0,EDUCATION,B,18000,10.75,0.24,N,5,0
46,29,25000,OWN,5.0,MEDICAL,C,10000,13.49,0.4,Y,5,0
47,30,30000,RENT,3.0,EDUCATION,C,4500,13.92,0.15,N,8,0
48,22,61000,MORTGAGE,6.0,EDUCATION,A,2100,6.62,0.03,N,3,0
49,22,71200,RENT,2.0,VENTURE,B,11000,12.42,0.15,N,2,0
50,28,66500,RENT,4.0,VENTURE,B,16000,12.18,0.24,N,6,0
51,25,98000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,25000,16.45,0.26,N,4,1
52,25,90000,MORTGAGE,3.0,VENTURE,B,25000,10.39,0.28,N,3,0
53,31,130000,MORTGAGE,10.0,MEDICAL,A,9800,8.49,0.08,N,5,0
54,25,100000,MORTGAGE,0.0,EDUCATION,A,7500,6.54,0.07,N,4,0
55,27,72000,MORTGAGE,2.0,EDUCATION,B,2600,9.25,0.04,N,7,0
56,37,48000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,7000,7.9,0.15,N,15,0
57,22,50000,RENT,4.0,EDUCATION,A,10000,9.32,0.2,N,3,0
58,28,42000,RENT,0.0,VENTURE,B,12000,11.11,0.29,N,9,0
59,35,41235,OWN,7.0,MEDICAL,A,3000,7.14,0.07,N,9,0
60,22,71000,RENT,3.0,MEDICAL,A,10000,7.29,0.14,N,2,0
61,30,78000,RENT,14.0,VENTURE,C,3000,11.97,0.04,N,6,0
62,27,140987,MORTGAGE,5.0,VENTURE,A,6450,5.99,0.05,N,6,0
63,25,27040,RENT,2.0,PERSONAL,A,6000,7.9,0.22,N,2,0
64,28,44000,RENT,3.0,EDUCATION,E,17500,,0.4,N,10,1
65,25,30004,RENT,3.0,DEBTCONSOLIDATION,D,3800,14.84,0.13,N,2,1
66,27,130000,RENT,0.0,MEDICAL,A,15000,,0.12,N,7,0
