,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
0,39,170000,RENT,9.0,DEBTCONSOLIDATION,C,17000,12.99,0.1,N,14,0
1,22,60000,MORTGAGE,6.0,EDUCATION,B,2800,10.99,0.05,N,4,0
2,23,48152,MORTGAGE,7.0,MEDICAL,A,9500,7.29,0.2,N,2,0
3,25,62496,MORTGAGE,1.0,HOMEIMPROVEMENT,A,8000,7.51,0.13,N,2,0
4,22,41500,RENT,6.0,PERSONAL,D,2500,15.62,0.06,N,2,0
5,25,47000,MORTGAGE,5.0,EDUCATION,B,10400,11.49,0.22,N,2,0
6,21,18000,RENT,5.0,PERSONAL,A,1800,6.62,0.1,N,3,0
7,23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0.1,N,3,0
8,25,63000,MORTGAGE,3.0,EDUCATION,C,3000,13.47,0.05,N,2,0
9,23,25100,OWN,7.0,EDUCATION,D,10800,14.59,0.43,Y,3,0
10,27,25200,RENT,3.0,MEDICAL,A,6000,7.9,0.24,N,5,0
11,24,45000,MORTGAGE,0.0,VENTURE,C,10625,14.27,0.24,Y,2,1
12,29,78000,MORTGAGE,2.0,PERSONAL,A,18000,6.62,0.23,N,5,0
13,29,62000,OWN,4.0,EDUCATION,A,15000,6.03,0.24,N,7,0
14,22,72000,RENT,6.0,MEDICAL,B,12000,10.99,0.17,N,4,0
15,27,61200,MORTGAGE,5.0,MEDICAL,B,4500,11.86,0.07,N,7,0
16,33,66500,MORTGAGE,1.0,EDUCATION,A,9200,7.343586937017764,0.14,N,6,0
17,51,120000,MORTGAGE,2.0,PERSONAL,A,30000,7.9,0.25,N,22,0
18,24,37200,MORTGAGE,2.0,MEDICAL,A,8000,7.88,0.22,N,4,1
19,28,60000,MORTGAGE,5.0,MEDICAL,B,6000,10.99,0.1,N,6,0
20,23,36300,RENT,0.0,VENTURE,A,4000,7.68,0.11,N,2,0
21,30,51000,MORTGAGE,4.0,PERSONAL,B,2000,10.99,0.04,N,10,0
22,22,80000,MORTGAGE,6.0,PERSONAL,A,5000,7.14,0.06,N,2,0
23,27,81193,RENT,2.0,DEBTCONSOLIDATION,B,12000,10.71,0.15,N,6,0
24,23,28000,OWN,6.0,VENTURE,B,7000,9.99,0.25,N,4,0
25,22,20640,RENT,0.0,EDUCATION,C,2500,12.68,0.12,N,3,0
26,34,36000,RENT,5.0,DEBTCONSOLIDATION,A,14000,7.51,0.39,N,6,1
27,22,21600,RENT,0.0,EDUCATION,A,9600,7.49,0.44,N,2,1
28,25,48074,RENT,4.0,EDUCATION,C,12000,13.85,0.25,Y,4,0
29,26,30000,RENT,7.0,DEBTCONSOLIDATION,D,5000,14.42,0.17,N,4,1
